Complaint,Pain_Scale,Mobility_Loss,Target_Label
Sharp shooting pain down my neck area,5.1,3.5,1
Sharp muscle spasm in my lower back,8.8,6.6,2
Lower back ache from sitting too long,4.5,3.3,2
Dull throbbing lower back irritation,3.4,0.7,2
Sharp shooting pain down my neck area,6.5,5.0,1
Lower back ache from sitting too long,9.5,7.3,2
I can't turn my head left because of neck tension,7.6,6.6,1
Dull throbbing lower back irritation,6.6,5.9,2
Sharp pain in my knee joint after running,2.8,4.2,0
My knee hurts when I try to squat down,6.9,6.8,0
Sharp shooting pain down my neck area,9.9,7.9,1
Sharp shooting pain down my neck area,3.1,1.8,1
I can't turn my head left because of neck tension,6.1,5.7,1
My neck is completely locked up and stiff,9.0,6.3,1
Stiff knee caps and swelling,7.9,8.6,0
Dull throbbing lower back irritation,7.6,7.6,2
I can't turn my head left because of neck tension,7.6,6.0,1
Sore neck muscles from sleeping wrong,4.9,2.4,1
Stiff back spine when standing up,4.3,5.1,2
Stiff knee caps and swelling,6.066842105263157,7.1,0
My knee hurts when I try to squat down,8.5,8.4,0
Stiff knee caps and swelling,8.9,6.0,0
My neck is completely locked up and stiff,9.3,7.3,1
Stiff knee caps and swelling,6.1,5.2,0
My knee hurts when I try to squat down,6.0,5.2,0
My neck is completely locked up and stiff,8.4,6.7,1
Sharp muscle spasm in my lower back,7.2,6.7,2
Sharp shooting pain down my neck area,7.6,5.4,1
Sharp shooting pain down my neck area,8.4,7.0,1
Stiff back spine when standing up,9.1,7.9,2
Lower back ache from sitting too long,4.7,4.5,2
Sharp muscle spasm in my lower back,5.0,5.0,2
Sharp muscle spasm in my lower back,6.066842105263157,1.2,2
Dull throbbing lower back irritation,6.6,4.1,2
My lower back feels incredibly tight,2.3,3.2,2
Stiff knee caps and swelling,5.7,5.2,0
Sharp shooting pain down my neck area,6.3,4.6,1
My knee hurts when I try to squat down,4.3,5.2,0
I twisted my knee playing sports,6.7,5.8,0
My lower back feels incredibly tight,2.2,3.1,2
I twisted my knee playing sports,2.3,2.0,0
My neck is completely locked up and stiff,8.6,9.4,1
Sharp shooting pain down my neck area,4.9,5.9,1
Sharp shooting pain down my neck area,3.0,2.3,1
My lower back feels incredibly tight,6.2,6.2,2
Stiff back spine when standing up,8.2,7.6,2
My lower back feels incredibly tight,3.7,4.5,2
I twisted my knee playing sports,7.0,5.0,0
My lower back feels incredibly tight,2.7,3.0,2
Sharp shooting pain down my neck area,2.4,3.1,1
Stiff back spine when standing up,6.066842105263157,3.6,2
Stiff knee caps and swelling,6.3,4.2,0
Sore neck muscles from sleeping wrong,7.1,4.0,1
Dull throbbing lower back irritation,7.8,6.4,2
Sharp pain in my knee joint after running,9.8,9.1,0
Sharp muscle spasm in my lower back,6.1,6.7,2
My lower back feels incredibly tight,4.6,4.0,2
Lower back ache from sitting too long,8.4,8.7,2
My neck is completely locked up and stiff,4.2,2.2,1
Sore neck muscles from sleeping wrong,5.5,3.0,1
Dull throbbing lower back irritation,2.6,2.2,2
Dull throbbing lower back irritation,2.2,2.3,2
Dull throbbing lower back irritation,9.7,8.2,2
Dull throbbing lower back irritation,8.7,5.3,2
I twisted my knee playing sports,7.6,6.3,0
Stiff back spine when standing up,5.3,3.2,2
Sharp muscle spasm in my lower back,3.4,3.5,2
Sharp shooting pain down my neck area,3.3,3.1,1
Dull throbbing lower back irritation,4.0,2.5,2
Lower back ache from sitting too long,6.4,4.9,2
Sharp shooting pain down my neck area,7.7,5.5,1
My knee hurts when I try to squat down,7.3,6.1,0
My knee hurts when I try to squat down,4.2,4.6,0
